ISBN_13,titulo,autor
9786555601565.0,Orçamento sem falhas,Nath Finanças
9788551006276.0,Minha Sombria Vanessa,Kate Elizabeth Russell
9788551005378.0,Recursão,Blake Crouch
9788551006078.0,"M, o Filho do Século",Antonio Scurati
9788551006252.0,Oblivion Song: Entre Dois Mundos,Robert Kirkman
9788551006092.0,"Não se humilha, não",Isabela Freitas
9788551005675.0,Os segredos que guardamos,Lara Prescott
9788551005842.0,Baby Shark!,Stevie Lewis
9788551006214.0,A Guerra Pela Uber,Mike Isaac
9788551006290.0,Cidade nas Trevas,Adam Christopher
9788551006191.0,Território Lovecraft,Matt Ruff
9788551005989.0,A última porta,Scott Cawthon
9788551005736.0,A Última Festa (e-Book),Lucy Foley
9788551006313.0,Uma chance de lutar, Elizabeth Warren 
9788551005743.0,Uma Dor Tão Doce,David Nicholls
9788551005019.0,DUPLICADO Este é o Mar,Mariana Enriquez
9788551005729.0,A Última Festa,Lucy Foley
9788551006542.0,Coragem,Raina Telgemeier
9788551006238.0,A Convenção das Aves,Ransom Riggs
9788551006481.0,Como o Cérebro Cria,David Eagleman
9788551006320.0,1793,Niklas Natt och Dag
9788551006207.0,Território Lovecraft,Matt Ruff
9788580577266.0,Para Todos os Garotos que Já Amei,Jenny Han
9788580578690.0,P.S.: Ainda Amo Você,Jenny Han
9788551006177.0,O Livro de Líbero,Alfredo Nugent Setubal
9788551006528.0,Terra Americana,Jeanine Cummins
9788551006443.0,Você não merece ser feliz,Daniel Furlan
9788551006177.0,O Livro De Líbero,Alfredo Nugent Setubal
9788551006467.0,Princípios Para O Sucesso,Ray Dalio
9788551006634.0,Black Hammer (Vol #4),Jeff Lemire
9788551006245.0,A Convenção Das Aves,Ransom Riggs
9788551006504.0,As Outras Pessoas,C.J. Tudor
9788551005743.0,Uma Dor Tão Doce,David Nicholls
9786555600162.0,A Grande Gripe,John M. Barry
9788551006627.0,The Outsiders,S. E. Hinton
9788551006719.0,SuperNormal,Greg James
9786555600131.0,Inimigo Mortal,Michael T. Osterholm
9788551006689.0,O Silêncio da Cidade Branca,Eva García Sáenz de Urturi
9788551006184.0,A Casa Holandesa,Ann Patchett
,A Ultima Festa,Lucy Foley
9788551005347.0,A Tumba do Tirano,Rick Riordan
9788551006504.0,As Outras Pessoas,C.J. Tudor
9788551006757.0,Coraline,Neil Gaiman
9786555600292.0,Sol da Meia-Noite,Stephenie Meyer
9786555600254.0,Malorie,Josh Malerman
9786555600209.0,Observações sobre um planeta nervoso,Matt Haig
9788551006672.0,Onde os sonhos acontecem,Robert Iger
9788551005910.0,A Vida Mentirosa dos Adultos,Elena Ferrante
9788551006153.0,Capital e Ideologia,Thomas Piketty
9788551006375.0,A vida mentirosa dos adultos,Elena Ferrante
9788551006665.0,O Árabe do Futuro,Riad Sattouf
9786555600278.0,"Com Amor, Creekwood",Becky Albertalli
9788551006368.0,A Dança da Água,Ta-Nehisi Coates
9788551006603.0,A Casa Holandesa,Ann Patchett
,Relatório da Desigualdade Mundial 2018,Facundo Alvaredo
9788551006580.0,Os Dois Mundos de Isabel,Daniela Arbex
9788551006658.0,Cartas para Martin,Nic Stone
9788551006368.0,A dança da água,Ta-Nehisi Coates
9786555600032.0,Adultos, Emma Jane Unsworth 
9786555600223.0,Piano Mecânico,Kurt Vonnegut
9786555600087.0,Amor & Sorte,Jenna Evans Welch
9786555600094.0,Amor & Sorte,Jenna Evans Welch
9786555600315.0,A Regra é Não Ter Regras,Reed Hastings
,Território Lovecraft,Matt Ruff
9786555600483.0,Árvore dos Desejos,K. A. Applegate
9786555600070.0,A troca,Beth O'Leary
9788551005941.0,A Troca,Beth O'Leary
9786555600346.0,A Caminho da Guerra,Graham Allison
9786555600452.0,Nada Ortodoxa,Deborah Feldman
9786555600360.0,Ruptura,Monica de Bolle
9786555600322.0,Cercado de Idiotas,THOMAS ERIKSON
9786555600551.0,Box Neil Gaiman,NEIL GAIMAN
9786555600636.0,A Torre de Nero,Rick Riordan
9788580576764.0,Quase uma Rockstar,Matthew Quick
9788551006757.0,Coraline,Neil Gaiman
9786555600520.0,Promessa de Pai,Joe Biden
9786555600506.0,Shine,Jessica Jung
9786555600650.0,O Refúgio,Mick Kitson
9786555600612.0,Estas Verdades,Jill Lepore
9786555600032.0,Adultos, Emma Jane Unsworth 
9788551005958.0,Pachinko,Min Jin Lee
9786555600438.0,A Troca,Beth O'Leary
